chr	start	end	BS	BS.norm	boundary	TADid	TAD
II	0	9999	NA	0	0	0	1
II	10000	19999	NA	0	0	0	1
II	20000	29999	NA	0	0	0	1
II	30000	39999	NA	0	0	0	1
II	40000	49999	NA	0	0	0	1
II	50000	59999	NA	0	0	0	1
II	60000	69999	NA	0	0	0	1
II	70000	79999	NA	0	0	0	1
II	80000	89999	NA	0	0	0	1
II	90000	99999	NA	0	0	0	1
II	100000	109999	2.91	-0.835	0	0	1
II	110000	119999	2.815	-0.9298	0	0	1
II	120000	129999	2.874	-0.8709	0	0	1
II	130000	139999	2.963	-0.7825	0	0	1
II	140000	149999	3.001	-0.7438	0	0	1
II	150000	159999	2.983	-0.7616	0	0	1
II	160000	169999	2.912	-0.8334	0	0	1
II	170000	179999	2.82	-0.9252	0	0	1
II	180000	189999	2.782	-0.9629	0	0	1
II	190000	199999	2.874	-0.8711	0	0	1
II	200000	209999	2.965	-0.7798	0	0	1
II	210000	219999	2.999	-0.7463	0	0	1
II	220000	229999	2.971	-0.7744	0	0	1
II	230000	239999	2.964	-0.7807	0	0	1
II	240000	249999	3.155	-0.5897	0	0	1
II	250000	259999	3.072	-0.6733	0	0	1
II	260000	269999	3.019	-0.7264	0	0	1
II	270000	279999	2.956	-0.7891	0	0	1
II	280000	289999	2.902	-0.8427	0	0	1
II	290000	299999	2.988	-0.7567	0	0	1
II	300000	309999	2.975	-0.7696	0	0	1
II	310000	319999	3.288	-0.457	0	0	1
II	320000	329999	3.224	-0.5212	0	0	1
II	330000	339999	3.162	-0.5826	0	0	1
II	340000	349999	3.453	-0.2916	0	0	1
II	350000	359999	3.993	0.2482	0	0	1
II	360000	369999	4.843	1.098	0	0	1
II	370000	379999	5.584	1.839	0	0	1
II	380000	389999	8.088	4.343	0	0	1
II	390000	399999	18.3	6.603	1	0.5	0
II	400000	409999	18.08	6.603	0	1	1
II	410000	419999	9.086	5.341	0	1	1
II	420000	429999	6.27	2.524	0	1	1
II	430000	439999	4.453	0.7081	0	1	1
II	440000	449999	4.01	0.2651	0	1	1
II	450000	459999	3.57	-0.1755	0	1	1
II	460000	469999	3.143	-0.6018	0	1	1
II	470000	479999	2.999	-0.7457	0	1	1
II	480000	489999	2.843	-0.902	0	1	1
II	490000	499999	2.924	-0.8208	0	1	1
II	500000	509999	2.837	-0.9081	0	1	1
II	510000	519999	2.921	-0.8238	0	1	1
II	520000	529999	2.993	-0.7523	0	1	1
II	530000	539999	2.964	-0.7807	0	1	1
II	540000	549999	2.892	-0.8533	0	1	1
II	550000	559999	2.844	-0.9006	0	1	1
II	560000	569999	2.782	-0.9628	0	1	1
II	570000	579999	2.966	-0.7795	0	1	1
II	580000	589999	3.03	-0.7149	0	1	1
II	590000	599999	3.106	-0.6388	0	1	1
II	600000	609999	3.064	-0.6815	0	1	1
II	610000	619999	3.079	-0.6662	0	1	1
II	620000	629999	3.136	-0.6092	0	1	1
II	630000	639999	3.024	-0.7212	0	1	1
II	640000	649999	3.033	-0.7119	0	1	1
II	650000	659999	2.905	-0.8402	0	1	1
