bin	chr	start	end
1	II	800000	800249
2	II	800250	800499
3	II	800500	800749
4	II	800750	800999
5	II	801000	801249
6	II	801250	801499
7	II	801500	801749
8	II	801750	801999
9	II	802000	802249
10	II	802250	802499
11	II	802500	802749
12	II	802750	802999
13	II	803000	803249
14	II	803250	803499
15	II	803500	803749
16	II	803750	803999
17	II	804000	804249
18	II	804250	804499
19	II	804500	804749
20	II	804750	804999
21	II	805000	805249
22	II	805250	805499
23	II	805500	805749
24	II	805750	805999
25	II	806000	806249
26	II	806250	806499
27	II	806500	806749
28	II	806750	806999
29	II	807000	807249
30	II	807250	807499
31	II	807500	807749
32	II	807750	807999
33	II	808000	808249
34	II	808250	808499
35	II	808500	808749
36	II	808750	808999
37	II	809000	809249
38	II	809250	809499
39	II	809500	809749
40	II	809750	809999
41	II	810000	810249
42	II	810250	810499
43	II	810500	810749
44	II	810750	810999
45	II	811000	811249
46	II	811250	811499
47	II	811500	811749
48	II	811750	811999
49	II	812000	812249
50	II	812250	812499
51	II	812500	812749
52	II	812750	812999
53	II	813000	813249
54	II	813250	813499
55	II	813500	813749
56	II	813750	813999
57	II	814000	814249
58	II	814250	814499
59	II	814500	814749
60	II	814750	814999
61	II	815000	815249
62	II	815250	815499
63	II	815500	815749
64	II	815750	815999
65	II	816000	816249
66	II	816250	816499
67	II	816500	816749
68	II	816750	816999
69	II	817000	817249
70	II	817250	817499
71	II	817500	817749
72	II	817750	817999
73	II	818000	818249
74	II	818250	818499
75	II	818500	818749
76	II	818750	818999
77	II	819000	819249
78	II	819250	819499
79	II	819500	819749
80	II	819750	819999
81	II	820000	820249
82	II	820250	820499
83	II	820500	820749
84	II	820750	820999
85	II	821000	821249
86	II	821250	821499
87	II	821500	821749
88	II	821750	821999
89	II	822000	822249
90	II	822250	822499
91	II	822500	822749
92	II	822750	822999
93	II	823000	823249
94	II	823250	823499
95	II	823500	823749
96	II	823750	823999
97	II	824000	824249
98	II	824250	824499
99	II	824500	824749
100	II	824750	824999
101	II	825000	825249
102	II	825250	825499
103	II	825500	825749
104	II	825750	825999
105	II	826000	826249
106	II	826250	826499
107	II	826500	826749
108	II	826750	826999
109	II	827000	827249
110	II	827250	827499
111	II	827500	827749
112	II	827750	827999
113	II	828000	828249
114	II	828250	828499
115	II	828500	828749
116	II	828750	828999
117	II	829000	829249
118	II	829250	829499
119	II	829500	829749
120	II	829750	829999
121	II	830000	830249
122	II	830250	830499
123	II	830500	830749
124	II	830750	830999
125	II	831000	831249
126	II	831250	831499
127	II	831500	831749
128	II	831750	831999
129	II	832000	832249
130	II	832250	832499
131	II	832500	832749
132	II	832750	832999
133	II	833000	833249
134	II	833250	833499
135	II	833500	833749
136	II	833750	833999
137	II	834000	834249
138	II	834250	834499
139	II	834500	834749
140	II	834750	834999
141	II	835000	835249
142	II	835250	835499
143	II	835500	835749
144	II	835750	835999
145	II	836000	836249
146	II	836250	836499
147	II	836500	836749
148	II	836750	836999
149	II	837000	837249
150	II	837250	837499
151	II	837500	837749
152	II	837750	837999
153	II	838000	838249
154	II	838250	838499
155	II	838500	838749
156	II	838750	838999
157	II	839000	839249
158	II	839250	839499
159	II	839500	839749
160	II	839750	839999
161	II	840000	840249
162	II	840250	840499
163	II	840500	840749
164	II	840750	840999
165	II	841000	841249
166	II	841250	841499
167	II	841500	841749
168	II	841750	841999
169	II	842000	842249
170	II	842250	842499
171	II	842500	842749
172	II	842750	842999
173	II	843000	843249
174	II	843250	843499
175	II	843500	843749
176	II	843750	843999
177	II	844000	844249
178	II	844250	844499
179	II	844500	844749
180	II	844750	844999
181	II	845000	845249
182	II	845250	845499
183	II	845500	845749
184	II	845750	845999
185	II	846000	846249
186	II	846250	846499
187	II	846500	846749
188	II	846750	846999
189	II	847000	847249
190	II	847250	847499
191	II	847500	847749
192	II	847750	847999
193	II	848000	848249
194	II	848250	848499
195	II	848500	848749
196	II	848750	848999
197	II	849000	849249
198	II	849250	849499
199	II	849500	849749
200	II	849750	849999
201	II	850000	850249
202	II	850250	850499
203	II	850500	850749
204	II	850750	850999
205	II	851000	851249
206	II	851250	851499
207	II	851500	851749
208	II	851750	851999
209	II	852000	852249
210	II	852250	852499
211	II	852500	852749
212	II	852750	852999
213	II	853000	853249
214	II	853250	853499
215	II	853500	853749
216	II	853750	853999
217	II	854000	854249
218	II	854250	854499
219	II	854500	854749
220	II	854750	854999
221	II	855000	855249
222	II	855250	855499
223	II	855500	855749
224	II	855750	855999
225	II	856000	856249
226	II	856250	856499
227	II	856500	856749
228	II	856750	856999
229	II	857000	857249
230	II	857250	857499
231	II	857500	857749
232	II	857750	857999
233	II	858000	858249
234	II	858250	858499
235	II	858500	858749
236	II	858750	858999
237	II	859000	859249
238	II	859250	859499
239	II	859500	859749
240	II	859750	859999
241	II	860000	860249
242	II	860250	860499
243	II	860500	860749
244	II	860750	860999
245	II	861000	861249
246	II	861250	861499
247	II	861500	861749
248	II	861750	861999
249	II	862000	862249
250	II	862250	862499
251	II	862500	862749
252	II	862750	862999
253	II	863000	863249
254	II	863250	863499
255	II	863500	863749
256	II	863750	863999
257	II	864000	864249
258	II	864250	864499
259	II	864500	864749
260	II	864750	864999
261	II	865000	865249
262	II	865250	865499
263	II	865500	865749
264	II	865750	865999
265	II	866000	866249
266	II	866250	866499
267	II	866500	866749
268	II	866750	866999
269	II	867000	867249
270	II	867250	867499
271	II	867500	867749
272	II	867750	867999
273	II	868000	868249
274	II	868250	868499
275	II	868500	868749
276	II	868750	868999
277	II	869000	869249
278	II	869250	869499
279	II	869500	869749
280	II	869750	869999
281	II	870000	870249
282	II	870250	870499
283	II	870500	870749
284	II	870750	870999
285	II	871000	871249
286	II	871250	871499
287	II	871500	871749
288	II	871750	871999
289	II	872000	872249
290	II	872250	872499
291	II	872500	872749
292	II	872750	872999
293	II	873000	873249
294	II	873250	873499
295	II	873500	873749
296	II	873750	873999
297	II	874000	874249
298	II	874250	874499
299	II	874500	874749
300	II	874750	874999
301	II	875000	875249
302	II	875250	875499
303	II	875500	875749
304	II	875750	875999
305	II	876000	876249
306	II	876250	876499
307	II	876500	876749
308	II	876750	876999
309	II	877000	877249
310	II	877250	877499
311	II	877500	877749
312	II	877750	877999
313	II	878000	878249
314	II	878250	878499
315	II	878500	878749
316	II	878750	878999
317	II	879000	879249
318	II	879250	879499
319	II	879500	879749
320	II	879750	879999
321	II	880000	880249
322	II	880250	880499
323	II	880500	880749
324	II	880750	880999
325	II	881000	881249
326	II	881250	881499
327	II	881500	881749
328	II	881750	881999
329	II	882000	882249
330	II	882250	882499
331	II	882500	882749
332	II	882750	882999
333	II	883000	883249
334	II	883250	883499
335	II	883500	883749
336	II	883750	883999
337	II	884000	884249
338	II	884250	884499
339	II	884500	884749
340	II	884750	884999
341	II	885000	885249
342	II	885250	885499
343	II	885500	885749
344	II	885750	885999
345	II	886000	886249
346	II	886250	886499
347	II	886500	886749
348	II	886750	886999
349	II	887000	887249
350	II	887250	887499
351	II	887500	887749
352	II	887750	887999
353	II	888000	888249
354	II	888250	888499
355	II	888500	888749
356	II	888750	888999
357	II	889000	889249
358	II	889250	889499
359	II	889500	889749
360	II	889750	889999
361	II	890000	890249
362	II	890250	890499
363	II	890500	890749
364	II	890750	890999
365	II	891000	891249
366	II	891250	891499
367	II	891500	891749
368	II	891750	891999
369	II	892000	892249
370	II	892250	892499
371	II	892500	892749
372	II	892750	892999
373	II	893000	893249
374	II	893250	893499
375	II	893500	893749
376	II	893750	893999
377	II	894000	894249
378	II	894250	894499
379	II	894500	894749
380	II	894750	894999
381	II	895000	895249
382	II	895250	895499
383	II	895500	895749
384	II	895750	895999
385	II	896000	896249
386	II	896250	896499
387	II	896500	896749
388	II	896750	896999
389	II	897000	897249
390	II	897250	897499
391	II	897500	897749
392	II	897750	897999
393	II	898000	898249
394	II	898250	898499
395	II	898500	898749
396	II	898750	898999
397	II	899000	899249
398	II	899250	899499
399	II	899500	899749
400	II	899750	899999
401	II	900000	900249
402	II	900250	900499
403	II	900500	900749
404	II	900750	900999
405	II	901000	901249
406	II	901250	901499
407	II	901500	901749
408	II	901750	901999
409	II	902000	902249
410	II	902250	902499
411	II	902500	902749
412	II	902750	902999
413	II	903000	903249
414	II	903250	903499
415	II	903500	903749
416	II	903750	903999
417	II	904000	904249
418	II	904250	904499
419	II	904500	904749
420	II	904750	904999
421	II	905000	905249
422	II	905250	905499
423	II	905500	905749
424	II	905750	905999
425	II	906000	906249
426	II	906250	906499
427	II	906500	906749
428	II	906750	906999
429	II	907000	907249
430	II	907250	907499
431	II	907500	907749
432	II	907750	907999
433	II	908000	908249
434	II	908250	908499
435	II	908500	908749
436	II	908750	908999
437	II	909000	909249
438	II	909250	909499
439	II	909500	909749
440	II	909750	909999
441	II	910000	910249
442	II	910250	910499
443	II	910500	910749
444	II	910750	910999
445	II	911000	911249
446	II	911250	911499
447	II	911500	911749
448	II	911750	911999
449	II	912000	912249
450	II	912250	912499
451	II	912500	912749
452	II	912750	912999
453	II	913000	913249
454	II	913250	913499
455	II	913500	913749
456	II	913750	913999
457	II	914000	914249
458	II	914250	914499
459	II	914500	914749
460	II	914750	914999
461	II	915000	915249
462	II	915250	915499
463	II	915500	915749
464	II	915750	915999
465	II	916000	916249
466	II	916250	916499
467	II	916500	916749
468	II	916750	916999
469	II	917000	917249
470	II	917250	917499
471	II	917500	917749
472	II	917750	917999
473	II	918000	918249
474	II	918250	918499
475	II	918500	918749
476	II	918750	918999
477	II	919000	919249
478	II	919250	919499
479	II	919500	919749
480	II	919750	919999
481	II	920000	920249
482	II	920250	920499
483	II	920500	920749
484	II	920750	920999
485	II	921000	921249
486	II	921250	921499
487	II	921500	921749
488	II	921750	921999
489	II	922000	922249
490	II	922250	922499
491	II	922500	922749
492	II	922750	922999
493	II	923000	923249
494	II	923250	923499
495	II	923500	923749
496	II	923750	923999
497	II	924000	924249
498	II	924250	924499
499	II	924500	924749
500	II	924750	924999
501	II	925000	925249
502	II	925250	925499
503	II	925500	925749
504	II	925750	925999
505	II	926000	926249
506	II	926250	926499
507	II	926500	926749
508	II	926750	926999
509	II	927000	927249
510	II	927250	927499
511	II	927500	927749
512	II	927750	927999
513	II	928000	928249
514	II	928250	928499
515	II	928500	928749
516	II	928750	928999
517	II	929000	929249
518	II	929250	929499
519	II	929500	929749
520	II	929750	929999
521	II	930000	930249
522	II	930250	930499
523	II	930500	930749
524	II	930750	930999
525	II	931000	931249
526	II	931250	931499
527	II	931500	931749
528	II	931750	931999
529	II	932000	932249
530	II	932250	932499
531	II	932500	932749
532	II	932750	932999
533	II	933000	933249
534	II	933250	933499
535	II	933500	933749
536	II	933750	933999
537	II	934000	934249
538	II	934250	934499
539	II	934500	934749
540	II	934750	934999
541	II	935000	935249
542	II	935250	935499
543	II	935500	935749
544	II	935750	935999
545	II	936000	936249
546	II	936250	936499
547	II	936500	936749
548	II	936750	936999
549	II	937000	937249
550	II	937250	937499
551	II	937500	937749
552	II	937750	937999
553	II	938000	938249
554	II	938250	938499
555	II	938500	938749
556	II	938750	938999
557	II	939000	939249
558	II	939250	939499
559	II	939500	939749
560	II	939750	939999
561	II	940000	940249
562	II	940250	940499
